local_feature,vsize,classifier,valid_acc
ORB,10,rbfSVM,0.37395303326810175
ORB,10,LR,0.4321752220382358
ORB,20,rbfSVM,0.43766370615685685
ORB,20,LR,0.46073009182598224
ORB,50,rbfSVM,0.4662110492247479
ORB,50,LR,0.46185458377239197
ORB,100,rbfSVM,0.4612629835917508
ORB,100,LR,0.47226403733253053
ORB,200,rbfSVM,0.49533343368959815
ORB,200,LR,0.4810582568116814
ORB,500,rbfSVM,0.5085097094686135
ORB,500,LR,0.4755411711576095
SIFT,10,rbfSVM,0.5227939184103567
SIFT,10,LR,0.5085247629083246
SIFT,20,rbfSVM,0.5420021074815595
SIFT,20,LR,0.541994580761704
SIFT,50,rbfSVM,0.5820954388077675
SIFT,50,LR,0.5832063826584375
SIFT,100,rbfSVM,0.5936323950022582
SIFT,100,LR,0.6161583621857595
SIFT,200,rbfSVM,0.6122805961162127
SIFT,200,LR,0.6364624416679211
SIFT,500,rbfSVM,0.6501685985247628
SIFT,500,LR,0.6573295197952731
